nodeName	altName	nodeAttr[nodesPresent, ]
MMT00035158	5730469M10Rik	magenta
MMT00035243	Tgfb1i1	magenta
MMT00035724	Tcf21	magenta
MMT00035984	Cyp4b1	magenta
MMT00036340	D10Ucla2	magenta
MMT00036739	D6Ertd32e	magenta
MMT00036954	Sept4	magenta
MMT00037447	Trem2	magenta
MMT00038270	Serpina10	magenta
MMT00038471	Art3	magenta
MMT00038915	NA	magenta
MMT00038934	Ifitm2	magenta
MMT00039183	Akap12	magenta
MMT00039459	Fsp27	magenta
MMT00039764	Timp3	magenta
MMT00039882	F11	magenta
MMT00040496	Cyp2c40	magenta
MMT00040765	Igfals	magenta
MMT00040888	Postn	magenta
MMT00040982	D19Wsu12e	magenta
MMT00041088	E330023O18	magenta
MMT00041166	Heph	magenta
MMT00041314	NA	magenta
MMT00041355	Plk2	magenta
MMT00041665	Upp1	magenta
MMT00042929	Lbp	magenta
MMT00042972	Aox1	magenta
MMT00043411	Sytl2	magenta
MMT00043537	Col6a3	magenta
MMT00043939	Gpihbp1	magenta
MMT00043964	Lxn	magenta
MMT00044287	Mmrn2	magenta
MMT00044996	Pex11a	magenta
MMT00045252	Stat3	magenta
MMT00045344	BC025600	magenta
MMT00045751	Zfp423	magenta
MMT00046778	Armcx1	magenta
MMT00046836	Phlda3	magenta
MMT00047127	1500004A08Rik	magenta
MMT00047197	BC024988	magenta
MMT00047418	Gpnmb	magenta
MMT00048209	Spp1	magenta
MMT00048535	Il13ra1	magenta
MMT00048659	C530028O21Rik	magenta
MMT00048720	Cbfa2t1h	magenta
MMT00049092	Ccbl1	magenta
MMT00049111	2600006K01Rik	magenta
MMT00049221	Hic1	magenta
MMT00049383	Kcne3	magenta
MMT00049553	Bok	magenta
MMT00049556	Matn2	magenta
MMT00049743	NA	magenta
MMT00050031	A230035L05Rik	magenta
MMT00050086	Gfra1	magenta
MMT00050363	Map4k4	magenta
MMT00050552	NA	magenta
MMT00050576	4631416L12Rik	magenta
MMT00051177	1600015H20Rik	magenta
MMT00051278	Reln	magenta
MMT00051292	Egfr	magenta
MMT00051303	Scara3	magenta
MMT00051523	CRAD-L	magenta
MMT00052337	Rgs5	magenta
MMT00052658	D330037A14Rik	magenta
MMT00052695	Proz	magenta
MMT00052859	Lama4	magenta
MMT00053210	Polydom	magenta
MMT00053218	Armcx2	magenta
MMT00053489	Nnmt	magenta
MMT00053497	Tk1	magenta
MMT00053545	Daf1	magenta
MMT00053917	Antxr1	magenta
MMT00054261	Edn1	magenta
MMT00054422	Mrc1	magenta
MMT00054464	Ptprb	magenta
MMT00054735	BC038881	magenta
MMT00055005	Slc22a7	magenta
MMT00055132	1110039C07Rik	magenta
MMT00055391	Serpina3n	magenta
MMT00055441	Tax1bp3	magenta
MMT00056362	AA960558	magenta
MMT00056584	Trfr2	magenta
MMT00056716	Bicc1	magenta
MMT00056798	2310016C16Rik	magenta
MMT00057508	Dok4	magenta
MMT00058021	Dnaic1	magenta
MMT00058158	Tp53i11	magenta
MMT00058222	C820005L12Rik	magenta
MMT00058752	5430416O09Rik	magenta
MMT00059202	Rcn	magenta
MMT00059241	Ehd3	magenta
MMT00059258	Fscn1	magenta
MMT00059782	Ctsk	magenta
MMT00060094	Large	magenta
MMT00060423	Plxnd1	magenta
MMT00060443	Pdgfa	magenta
MMT00060559	Fgb	magenta
MMT00060760	Chst7	magenta
MMT00060952	Rhbdf1	magenta
MMT00061101	9130017A15Rik	magenta
MMT00061203	9330129D05Rik	magenta
MMT00061256	1110032E23Rik	magenta
MMT00061313	Slc43a1	magenta
MMT00061484	Dll4	magenta
MMT00061509	Fabp4	magenta
MMT00061586	9430059P22Rik	magenta
MMT00061735	Hlx	magenta
MMT00061739	Ppm1f	magenta
MMT00061815	Arhgap18	magenta
MMT00061857	Lama2	magenta
MMT00061884	Rragd	magenta
MMT00061892	Jam3	magenta
MMT00061998	Cpb2	magenta
MMT00062460	Ntf3	magenta
MMT00062787	Rnase4	magenta
MMT00062990	Hc	magenta
MMT00063198	AI428795	magenta
MMT00063359	1110028A07Rik	magenta
MMT00063470	Agxt	magenta
MMT00063623	Flt1	magenta
MMT00064235	Ang1	magenta
MMT00064433	Rcn3	magenta
MMT00064617	Vim	magenta
MMT00064719	Mylip	magenta
MMT00064851	1200009O22Rik	magenta
MMT00064897	Cd34	magenta
MMT00065001	Ehhadh	magenta
MMT00065115	Fbn1	magenta
MMT00065116	Cdc42ep3	magenta
MMT00065159	Kng2	magenta
MMT00065770	NA	magenta
MMT00066884	Cav2	magenta
MMT00067008	Prdc	magenta
MMT00067079	Fetub	magenta
MMT00067105	Stk39	magenta
MMT00067156	Emcn	magenta
MMT00067261	Serpinf2	magenta
MMT00067296	Pdgfra	magenta
MMT00067525	Ddah2	magenta
MMT00067823	Anxa2	magenta
MMT00068494	Entpd5	magenta
MMT00068509	Oit3	magenta
MMT00068530	P4ha1	magenta
MMT00068861	Cd63	magenta
MMT00069165	Fbln5	magenta
MMT00069425	Acyp2	magenta
MMT00069884	NA	magenta
MMT00070201	Icam2	magenta
MMT00070277	2810432L12Rik	magenta
MMT00070342	NA	magenta
MMT00070429	Bace2	magenta
MMT00070618	Npl	magenta
MMT00070677	Il1r1	magenta
MMT00070750	0610039P13Rik	magenta
MMT00071052	A930021O22	magenta
MMT00071242	2610001E17Rik	magenta
MMT00071411	Slc30a2	magenta
MMT00071664	Peg12	magenta
MMT00071772	AI428936	magenta
MMT00071856	Col4a2	magenta
MMT00071857	2410004L22Rik	magenta
MMT00071976	AI173486	magenta
MMT00072042	Col14a1	magenta
MMT00072057	Col4a1	magenta
MMT00072237	Wisp1	magenta
MMT00072411	Drctnnb1a	magenta
MMT00072657	Calcrl	magenta
MMT00073157	1700021K02Rik	magenta
MMT00073211	5730528L13Rik	magenta
MMT00073308	Plat	magenta
MMT00073344	Abcc9	magenta
MMT00073365	Itih4	magenta
MMT00073735	Slc37a1	magenta
MMT00073829	Fmnl2	magenta
MMT00074488	Epb4.1l2	magenta
MMT00074499	Rgs3	magenta
MMT00074523	Pdlim2	magenta
MMT00074527	Tk1	magenta
MMT00074580	Mbl1	magenta
MMT00074886	Notch4	magenta
MMT00074990	Hey1	magenta
MMT00075171	2810004A10Rik	magenta
MMT00075402	Thbs2	magenta
MMT00075556	Tm4sf2	magenta
MMT00075754	3732412D22Rik	magenta
MMT00076056	Slc6a8	magenta
MMT00076233	Nr2f1	magenta
MMT00076371	Tulp3	magenta
MMT00076382	Bucs1	magenta
MMT00076602	Col5a1	magenta
MMT00076754	Casp12	magenta
MMT00076864	Hoxb2	magenta
